Name,Oligomerization
mBeRFP-Monomer,Monomer
HriGFP-Monomer,Monomer
mCardinal-Monomer,Monomer
mNeptune2-Monomer,Monomer
mNeptune2.5-Monomer,Monomer
iq-mEmerald-Monomer,Monomer
mKO-Monomer,Monomer
mPlum-TTN-Monomer,Monomer
mPlum(I65L)-Monomer,Monomer
TagYFP-Monomer,Monomer
Ultramarine-Monomer,Monomer
mRtms5-Monomer,Monomer
SuperNova-Monomer,Monomer
mMaple(BeforeandAfterPhotoconversion)-Monomer,Monomer
tagYFP-Monomer,Monomer
tagYFP(V14Y/L68A)-Monomer,Monomer
tagYFP(T205V)-Monomer,Monomer
mEos3.1(BeforeandAfterPhotoconversion)-Monomer,Monomer
mEos3.2(BeforeandAfterPhotoconversion)-Monomer,Monomer
mGeos-F-Monomer,Monomer
mGeos-M-Monomer,Monomer
mGeos-C-Monomer,Monomer
mGeos-S-Monomer,Monomer
mGeos-E-Monomer,Monomer
mGeos-L-Monomer,Monomer
mMaple2(BeforeandAfterPhotoconversion)-Monomer,Monomer
mMaple3(BeforeandAfterPhotoconversion)-Monomer,Monomer
mTagBFP-Monomer,Monomer
cfSGFP2-Monomer,Monomer
SuperfolderGFP-Monomer,Monomer
amFP486(E150Q)-Tetramer,Oligomer
amFP486(E217Q)-Tetramer,Oligomer
dRFP583(K83M)-Tetramer,Oligomer
DsRed(K70M)-Tetramer,Oligomer
DsRed(K83R)-Tetramer,Oligomer
DsRed(K83E)-Tetramer,Oligomer
DsRed(K83N)-Tetramer,Oligomer
DsRed(K83P)-Tetramer,Oligomer
DsRed(K83F)-Tetramer,Oligomer
DsRed(K83W)-Tetramer,Oligomer
DsRed(Y120H)-Tetramer,Oligomer
DsRed(S197T)-Tetramer,Oligomer
DsRed(K70R)-Tetramer,Oligomer
Dsred(wild-type)-Tetramer,Oligomer
Dsred(wild-type)-Tetramer,Oligomer
asCP562-Tetramer,Oligomer
HcRed-Tetramer,Oligomer
cpCP(wild-type)-Tetramer,Oligomer
eqFP611-Tetramer,Oligomer
RFP611-Tetramer,Oligomer
Kaede(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
DsRed2-Tetramer,Oligomer
DsRed.T1-Tetramer,Oligomer
DsRed.T3-Tetramer,Oligomer
DsRed.T4-Tetramer,Oligomer
Rtms5-Tetramer,Oligomer
Rtms5(H146S)-Tetramer,Oligomer
AG(wild-type)-Tetramer,Oligomer
KFP1(BeforeandAfterPhotoactivation)-Tetramer,Oligomer
T1-Tetramer,Oligomer
zFP538(K66M)-Tetramer,Oligomer
amFP486(wild-type)-Tetramer,Oligomer
amFP515-Tetramer,Oligomer
amFP506-Tetramer,Oligomer
amFP495-Tetramer,Oligomer
asFP595(S158V)-Tetramer,Oligomer
asFP595(A143S)-Tetramer,Oligomer
KikG(wild-type)-Tetramer,Oligomer
KikGR(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
aeCP597(wild-type)-Tetramer,Oligomer
AQ143-Tetramer,Oligomer
cmFP512(wild-type)-Tetramer,Oligomer
tKeima-Tetramer,Oligomer
OFP-Tetramer,Oligomer
cjarRFP(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
lhemOFP(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
rsFastLime-Tetramer,Oligomer
Dronpa-2-Tetramer,Oligomer
Dronpa-3-Tetramer,Oligomer
RFP630-Tetramer,Oligomer
RFP618-Tetramer,Oligomer
RFP637-Tetramer,Oligomer
RFP639-Tetramer,Oligomer
DsRed-Max-Tetramer,Oligomer
dsFP483(H163Q)-Tetramer,Oligomer
dsFP483(K70M)-Tetramer,Oligomer
amilCFP-Tetramer,Oligomer
anobCFP1-Tetramer,Oligomer
anobCFP2-Tetramer,Oligomer
meffCFP-Tetramer,Oligomer
mmilCFP-Tetramer,Oligomer
meleCFP-Tetramer,Oligomer
efasCFP-Tetramer,Oligomer
psamCFP-Tetramer,Oligomer
aacuGFP1-Tetramer,Oligomer
aacuGFP2-Tetramer,Oligomer
aeurGFP-Tetramer,Oligomer
afraGFP-Tetramer,Oligomer
amilGFP-Tetramer,Oligomer
anobGFP-Tetramer,Oligomer
eechGFP1-Tetramer,Oligomer
eechGFP2-Tetramer,Oligomer
eechGFP3-Tetramer,Oligomer
efasGFP-Tetramer,Oligomer
fabdGFP-Tetramer,Oligomer
gfasGFP-Tetramer,Oligomer
meffGFP-Tetramer,Oligomer
PlamGFP-Tetramer,Oligomer
pporGFP-Tetramer,Oligomer
sarcGFP-Tetramer,Oligomer
stylGFP-Tetramer,Oligomer
meffRFP-Tetramer,Oligomer
pporRFP-Tetramer,Oligomer
eechRFP-Tetramer,Oligomer
meleRFP-Tetramer,Oligomer
scubRFP-Tetramer,Oligomer
eforCP-Tetramer,Oligomer
aacuCP-Tetramer,Oligomer
ahyaCP-Tetramer,Oligomer
amilCP-Tetramer,Oligomer
gfasCP-Tetramer,Oligomer
gdjiCP-Tetramer,Oligomer
meffCP-Tetramer,Oligomer
stylCP-Tetramer,Oligomer
spisCP-Tetramer,Oligomer
alajGFP1-Tetramer,Oligomer
alajGFP2-Tetramer,Oligomer
alajGFP3-Tetramer,Oligomer
ccalRFP1-Tetramer,Oligomer
ccalYFP1-Tetramer,Oligomer
ccalRFP2(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
ccalGFP1-Tetramer,Oligomer
ccalOFP1-Tetramer,Oligomer
ccalGFP3-Tetramer,Oligomer
cerFP505-Tetramer,Oligomer
amilFP512-Tetramer,Oligomer
amilFP484-Tetramer,Oligomer
amilFP497-Tetramer,Oligomer
amilFP597-Tetramer,Oligomer
apulFP483-Tetramer,Oligomer
apulCP584-Tetramer,Oligomer
mEos2(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
pmimGFP1-Tetramer,Oligomer
pmimGFP2-Tetramer,Oligomer
eqFP578f-Tetramer,Oligomer
IrisFP(PlanarChromophore)-Tetramer,Oligomer
Rtms5(Y67F/H146S)-Tetramer,Oligomer
Rtms5(Y67F)-Tetramer,Oligomer
LanYFP-Tetramer,Oligomer
E2-Orange-Tetramer,Oligomer
E2-Red/Green(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
AsRed2-Tetramer,Oligomer
AmCyan1-Tetramer,Oligomer
ZsGreen1-Tetramer,Oligomer
ZsYellow1-Tetramer,Oligomer
ffDronpa-Tetramer,Oligomer
pcDronpa(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
pcDronpa2(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
pcDronpa(A69T)-Tetramer,Oligomer
E5(BeforeandAfterFluorescentTimer)-Tetramer,Oligomer
EosFPWild-type(BeforeandAfterPhotoconversion)-Tetramer,Oligomer
