Bioconductor,CRAN
QDNAseq,
qpcrNorm,
qpgraph,
qrqc,
QUALIFIER,
quantro,
quantsmooth,
QuartPAC,
QuasR,
qusage,
qvalue,
R3CPET,
r3Cseq,
R453Plus1Toolbox,
rain,
rama,
RamiGO,
randPack,
RankProd,
Rariant,
RbcBook1,
RBGL,
RBioinf,
rBiopaxParser,
RBM,
Rbowtie,
rbsurv,
Rcade,
RCASPAR,
rcellminer,
Rchemcpp,
RchyOptimyx,
Rcpi,
RCyjs,
RCytoscape,
RDAVIDWebService,
Rdisop,
RDRToolbox,
ReactomePA,
ReadqPCR,
reb,
RedeR,
REDseq,
RefNet,
RefPlus,
regioneR,
regionReport,
Repitools,
ReportingTools,
ReQON,
rfPred,
rGADEM,
RGalaxy,
Rgraphviz,
rGREAT,
RGSEA,
rgsepd,
rhdf5,
Rhtslib,
rHVDM,
riboSeqR,
Ringo,
RIPSeeker,
Risa,
RLMM,
Rmagpie,
RMassBank,
rMAT,
RmiR,
RNAinteract,
RNAither,
RNAprobR,
rnaSeqMap,
RNASeqPower,
RnaSeqSampleSize,
RnBeads,
Rnits,
roar,
ROC,
Roleswitch,
Rolexa,
rols,
ROntoTools,
RPA,
RpsiXML,
rpx,
Rqc,
rqubic,
rRDP,
RRHO,
Rsamtools,
rsbml,
rSFFreader,
Rsubread,
RSVSim,
rTANDEM,
RTCA,
RTN,
RTopper,
rtracklayer,
Rtreemix,
rTRM,
rTRMui,
RUVcorr,
RUVnormalize,
RUVSeq,
RWebServices,
S4Vectors,
safe,
sagenhaft,
SAGx,
SamSPECTRAL,
sangerseqR,
SANTA,
sapFinder,
saps,
savR,
SBMLR,
SCAN.UPC,
ScISI,
scsR,
segmentSeq,
SELEX,
SemDist,
seq2pathway,
SeqArray,
seqbias,
seqCNA,
SeqGSEA,
seqLogo,
seqPattern,
seqplots,
seqTools,
SeqVarTools,
SGSeq,
shinyMethyl,
shinyTANDEM,
ShortRead,
sigaR,
SigCheck,
SigFuge,
siggenes,
sigPathway,
sigsquared,
SIM,
SIMAT,
SimBindProfiles,
similaRpeak,
simpleaffy,
simulatorZ,
sincell,
sizepower,
SJava,
skewr,
SLGI,
SLqPCR,
SMAP,
SNAGEE,
snapCGH,
snm,
SNPchip,
SNPRelate,
snpStats,
soGGi,
SomatiCA,
SomaticSignatures,
SpacePAC,
spade,
specL,
SpeCond,
SPEM,
SPIA,
spikeLI,
spkTools,
splicegear,
spliceR,
spliceSites,
SplicingGraphs,
splots,
spotSegmentation,
SQUADD,
SRAdb,
sRAP,
sscore,
sSeq,
ssize,
SSPA,
ssviz,
STAN,
staRank,
Starr,
STATegRa,
stepNorm,
stepwiseCM,
Streamer,
STRINGdb,
supraHex,
survcomp,
Sushi,
sva,
SVM2CRM,
SwimR,
switchBox,
synapter,
systemPipeR,
TargetScore,
TargetSearch,
TCC,
TDARACNE,
TEQC,
ternarynet,
TFBSTools,
tigre,
tilingArray,
timecourse,
TIN,
TitanCNA,
tkWidgets,
ToPASeq,
topGO,
TPP,
tracktables,
trackViewer,
tRanslatome,
TransView,
triform,
trigger,
trio,
triplex,
TRONCO,
TSCAN,
tspair,
TSSi,
TurboNorm,
tweeDEseq,
twilight,
TypeInfo,
UNDO,
unifiedWMWqPCR,
UniProt.ws,
VanillaICE,
VariantAnnotation,
VariantFiltering,
VariantTools,
vbmp,
Vega,
VegaMC,
viper,
vsn,
vtpnet,
wateRmelon,
wavClusteR,
waveTiling,
weaver,
webbioc,
widgetTools,
xcms,
XDE,
xmapbridge,
xps,
XVector,
yaqcaffy,
zlibbioc,
,
,
,
,
